GEO_ID,NAME,S1501_C06_020E
53001,"Adams County, Washington",67.4
53003,"Asotin County, Washington",91.2
53005,"Benton County, Washington",88.4
53007,"Chelan County, Washington",73.2
53009,"Clallam County, Washington",91.5
53011,"Clark County, Washington",92.8
53013,"Columbia County, Washington",97
53015,"Cowlitz County, Washington",90.3
53017,"Douglas County, Washington",80.5
53019,"Ferry County, Washington",88.6
53021,"Franklin County, Washington",70.5
53023,"Garfield County, Washington",95.8
53025,"Grant County, Washington",77.7
53027,"Grays Harbor County, Washington",84.6
53029,"Island County, Washington",97.7
53031,"Jefferson County, Washington",95.5
53033,"King County, Washington",93.6
53035,"Kitsap County, Washington",96.7
53037,"Kittitas County, Washington",83.4
53039,"Klickitat County, Washington",86.8
53041,"Lewis County, Washington",88.3
53043,"Lincoln County, Washington",95.6
53045,"Mason County, Washington",86.6
53047,"Okanogan County, Washington",85.2
53049,"Pacific County, Washington",86.9
53051,"Pend Oreille County, Washington",90.9
53053,"Pierce County, Washington",92.1
53055,"San Juan County, Washington",96.3
53057,"Skagit County, Washington",86.7
53059,"Skamania County, Washington",85.6
53061,"Snohomish County, Washington",92.6
53063,"Spokane County, Washington",95.6
53065,"Stevens County, Washington",94.5
53067,"Thurston County, Washington",94.8
53069,"Wahkiakum County, Washington",78
53071,"Walla Walla County, Washington",85.7
53073,"Whatcom County, Washington",93.7
53075,"Whitman County, Washington",93
53077,"Yakima County, Washington",68
